ordem,tempo_25k,tempo_50k,tempo_75k,tempo_100k,tempo_1kk
crescente,0.007996,0.017233,0.025973,0.034526,0.311040
decrescente,0.007669,0.016464,0.026453,0.034384,0.307887
aleatorio,0.010407,0.021907,0.035652,0.046445,0.453163
aleatorio100kk,0.010202,0.021504,0.035975,0.046797,0.451706
