ordem,tempo_25k,tempo_50k,tempo_75k,tempo_100k,tempo_1kk
crescente,0.000307,0.000578,0.000910,0.001112,0.010132
decrescente,0.000240,0.000471,0.000711,0.000936,0.009074
aleatorio,0.504950,1.893187,4.218201,7.522074,755.609231
aleatorio100kk,0.470781,1.883583,4.218023,7.574699,755.306147
