ordem,tempo_25k,tempo_50k,tempo_75k,tempo_100k,tempo_1kk
crescente,0.004960,0.010437,0.017035,0.022533,0.265777
decrescente,0.004915,0.010526,0.016622,0.021896,0.264515
aleatorio,0.006155,0.014794,0.019945,0.027828,0.355565
aleatorio100kk,0.006030,0.013192,0.019780,0.027836,0.356480
