ordem,tempo_25k,tempo_50k,tempo_75k,tempo_100k,tempo_1kk
crescente,0.008523,0.016589,0.021525,0.026835,0.199852
decrescente,0.003366,0.007575,0.010794,0.015265,0.168739
aleatorio,0.005378,0.011867,0.017579,0.024344,0.280837
aleatorio100kk,0.010426,0.018168,0.025212,0.031137,0.287586
