nthreads;tempo
2;112.583
3;81.8026
4;78.6707
5;90.6016
6;82.5927
7;77.3314
8;73.8504
9;76.801
10;77.3993
11;75.9619
12;75.6654
13;76.4763
14;75.3396
15;75.0704
16;75.0181
