nthreads;tempo
2;92.4334
3;72.8907
4;63.1907
5;69.0089
6;64.1573
7;64.3829
8;60.9504
9;67.534
10;67.7109
11;66.3146
12;67.9799
13;67.4361
14;66.8513
15;66.6283
16;66.0569
