nthreads;tempo
2;0.181828
3;0.842977
4;2.72226
5;5.17644
6;7.59336
7;21.8865
8;10.672
9;77.1846
10;21.3314
11;137.512
12;78.2763
13;83.5277
14;351.136
15;136.142
16;35.9394
